acc,recall,top,type
0.14317269355264436,0.1122173586953636,5,collaborative
0.18433519025325423,0.1460242834904054,10,collaborative
0.23094341719572678,0.18380924024581557,20,collaborative
0.3046830501646222,0.24528209053775127,50,collaborative
0.36126585443785336,0.2940783295848125,100,collaborative
0.0323965380714891,0.027661734064634715,5,content
0.05451287109456399,0.04647207266089512,10,content
0.08392259283441923,0.07104401744768207,20,content
0.13562924579414584,0.11485829406675252,50,content
0.18982259700206994,0.15924446583636914,100,content
